datetime,username,tweets
2023-01-04 15:37:47+00:00,debbydwk,"Dibawain mertua duren se freezer penuh, sampe capek ngabisinnya. Dari yang suka bgt duren sampe tiap buka kulkas bau duren rasanya mual pen muntah 🥲🤣"
2023-01-04 15:36:30+00:00,TheEagle_BEN,"@inneycha @ArwahMiliter SIAPA NAMA ANAKNYA BUK,
LAMA BANGET KASIH TAU GITU AJA.

MERTUA LEMAH😒"
2023-01-04 15:36:13+00:00,latenightcall__,@tanyakanrl Ini calon mertua atau HRD?
2023-01-04 15:36:03+00:00,iam_infj,"Page 4 of 365
Selamat ulang tahun makna yang strong gaul dan hebat
Semoga tahun ini naik tingkat jadi ibu mertua 👨‍👩‍👧‍👦💜 https://t.co/07rYebCrnk"
2023-01-04 15:35:13+00:00,Vachivaamet,@bwforever___ Hai mommy mertua
2023-01-04 15:33:46+00:00,easthesper,"@18fesss Gak dulu maaf, berkaca dari pengalaman ortu dan dampaknya ke gue a.k.a anaknya, emang ga semua mertua bakal kayak nenek gue, tapi gaada jaminan kalau dia gaakan mirip kayak nenek gue wkwkwk."
2023-01-04 15:31:52+00:00,Jasminenmn,"Laki-laki sbg pemimpin, sini mikir. Ketika memutuskan menikah hampir sama dgn mengambil alih kuasa atas kehidupan istri. Saat misalnya istri cekcok atau ga cocok sm mertua. Kurang bijak lo belain orang tua / ibu lo dan menyudutkannya secara ga langsung. Man, dia bergantung sm lo."
2023-01-04 15:30:17+00:00,Dany87AFC,@informatcha wleo mertua 😂
2023-01-04 15:30:04+00:00,BaeShooky,Aku pada mu mapa mertua https://t.co/mWP3bF1fc0
2023-01-04 15:28:45+00:00,tyokuuu,"@flktuasiglukosa tp nek gelem ambek sekolah ng kono , serius iki"
2023-01-04 15:28:30+00:00,thaiteaoriii,Kalo aku kmrn patungan+sama ortu juga. Resepsinya juga udah sepakat 1 tempat aja karna gak mau cape 😭😭 Alhamdulillah ortu dan mertua juga yg gak ribet jd ikutin kita maunya gmn senyamannya https://t.co/t9c9UetlTo
2023-01-04 15:28:25+00:00,middchild,@collegemenfess S.K.M sarjana kesayang mertua
2023-01-04 15:28:20+00:00,CapricornMe01,"@LilianaKim_ @KelinciAu Hasil doa dari sepertiga malam nya mendapatkan istri seperti ratu, anak seperti yaslan, mertua seperti papi kaisar mami Dewi, kka ipar seperti bg satria, temen seperti trio rajawali, Kerjaan dilancarin. Sepertinya Raja berdoa nya rinci bgt ya Li 🥹"
2023-01-04 15:27:44+00:00,tyokuuu,waaahhh wifi urunan njaluk slamet
2023-01-04 15:27:08+00:00,tinvder,MERTUA AKU SI BAPAK JOHNNY😭😭😭 ampun deh pi banyk banyak terimakasih🙏🙏🙏🫠
2023-01-04 15:27:03+00:00,bmxqxjkjkanspg,"YANG LAGI VIRAL NIH 😲😲

SKANDAL MENANTU NGENTOTIN MERTUA NYA SENDIRI BERAKHIR KENIKMATAN😮😮

FULL VIDIO ADA BIO DAN KOMEN GUYS 😋😋

#SANGE_AAAAAAAAAAH 
#viralindo 
#skandalviral 
#ngentotcrot https://t.co/FcQJkuqeuq"
2023-01-04 15:26:38+00:00,Lomboktodaycoid,"Polres Loteng Ungkap Kasus Pembunuhan Istri oleh Suami, Ibu Mertua dan Kakak Ipar https://t.co/9I4c6jDFPo"
2023-01-04 15:26:25+00:00,Clarazzahra_12,@tanyarlfes MERTUA LEBIH PERHATIAN BUKAN BERARTI ELU BERCOCOK TANAM DENGAN MERTUA JUGA YA PANTEKKKKK
2023-01-04 15:25:59+00:00,burcalmer,kyknya gue udh harus mulai gym lg deh
2023-01-04 15:21:39+00:00,bn_sj20,@seojooz @hyojow tolong saya papa mertua:(
2023-01-04 15:21:32+00:00,SUNGJIN93jr,@KDY96jr Boyfriendable yang cocok jadi teman mertua
2023-01-04 15:20:49+00:00,sstrln_,"@UNSfess_ Pas dapat rejeki buat keluargaku (bapak-ibu-adik), malah dikatain rejekiku nggak berkah &amp; disumpah serapahin sama calon mertua 😌"
2023-01-04 15:20:24+00:00,Fian_Ardiyana,"@prabowo Pak, Bapak mirip mertua saya"
2023-01-04 15:20:09+00:00,TenguLawaxx,@papa_loren Harusnya makasih krn mukanya n mertua jd meme🤣
2023-01-04 15:17:26+00:00,korangbusuk,"mak sarah lambai kat aku waktu balik tadi.

semangat betul mak mertua aku"
2023-01-04 15:17:20+00:00,eIsiera,"Masih inget banget dimana mertua mau bikin akte kelahiran, RT nya gamau ngurus2 dengan alesan takut pfttt 🤭"
2023-01-04 15:16:43+00:00,sukanahkoda,@bubunayam masa iya gue bunuh calon mertua.
2023-01-04 15:16:32+00:00,oppaholik,Aku sayang ayah mertua tiriku 💫
2023-01-04 15:13:42+00:00,hasnabilla,"Aiiihh bojoo.... pagi beliin bubur telur, siang nggorengin telur dadar, malem bikinin omelette wkwkwk walaupun sehari 3x makan telur tp gpp laah ttep cintakk (eh 4x telur karna hbs maghrib makan selad solo buatan mertua pake telur juga wkwk) 😅😅 https://t.co/mm7HReUwl9"
2023-01-04 15:12:39+00:00,semogaseru,"@tanyarlfes Mertua gak perhatian, katanya gak menghargai. Mertua perhatian malah diewe.
Hadeh"
2023-01-04 15:11:38+00:00,eIsiera,Punya tanah yang luas termaksud di bonbin. Mirisnya anak2 mak enis yang lain gak diajak buat tau tentang tanah apa saja yang dimiliki emak. Malah yang ngurus2 yang gak punya hak. Untungnya mertua sebagai salah satu anak mak enis gak terlalu ambil pusing walau kadang
2023-01-04 15:10:58+00:00,Ieominorr,@pengenshenhe SUNGGUH SUNGGUH SWAMI IDAMAN PARA MERTUA DAN IDAMAN ISTRINYA JUGA😭😭💕🫶🏻🫶🏻🌸🌸
2023-01-04 15:10:39+00:00,christinnnnn_,@collegemenfess SKM sarjana kesayangan mertua
2023-01-04 15:08:32+00:00,agay6,"Heboh Rozy Siap Nikahi Mertua, Tanggung Dosa Zina dan Terlanjur Viral https://t.co/EE6ug7Edpb"
